ministerio,ministerio_corto,categoria,entidad
"MINISTERIO DE PRODUCCIÓN SOSTENIBLE, MEDIO AMBIENTE Y AGUA",Producción y Medio Ambiente,Empresas Públicas bajo sujeción sectorial,Empresa Azucarera San Buenaventura – EASBA
"MINISTERIO DE PRODUCCIÓN SOSTENIBLE, MEDIO AMBIENTE Y AGUA",Producción y Medio Ambiente,Empresas Públicas bajo sujeción sectorial,Empresa Pública QUIPUS
"MINISTERIO DE PRODUCCIÓN SOSTENIBLE, MEDIO AMBIENTE Y AGUA",Producción y Medio Ambiente,Empresas Públicas bajo sujeción sectorial,Empresa Pública YACANA
"MINISTERIO DE PRODUCCIÓN SOSTENIBLE, MEDIO AMBIENTE Y AGUA",Producción y Medio Ambiente,Empresas Públicas bajo sujeción sectorial,Empresa Boliviana de Alimentos y Derivados – EBA
"MINISTERIO DE PRODUCCIÓN SOSTENIBLE, MEDIO AMBIENTE Y AGUA",Producción y Medio Ambiente,Empresas Públicas bajo sujeción sectorial,Empresa Boliviana de Producción Agropecuaria
"MINISTERIO DE PRODUCCIÓN SOSTENIBLE, MEDIO AMBIENTE Y AGUA",Producción y Medio Ambiente,Empresas Públicas bajo sujeción sectorial,Empresa Misicuni
MINISTERIO DE HIDROCARBUROS Y ENERGÍAS,Hidrocarburos y Energías,Entidades Desconcentradas bajo dependencia,Ejecutora de Conversión a Gas Natural Vehicular – EEC – GNV
MINISTERIO DE HIDROCARBUROS Y ENERGÍAS,Hidrocarburos y Energías,Entidades Descentralizadas bajo tuición,Agencia Boliviana de Energía Nuclear – ABEN
MINISTERIO DE HIDROCARBUROS Y ENERGÍAS,Hidrocarburos y Energías,"Empresas Corporativas, Filiales y Subsidiarias bajo sujeción sectorial",Yacimientos Petrolíferos Fiscales Bolivianos – YPFB
MINISTERIO DE HIDROCARBUROS Y ENERGÍAS,Hidrocarburos y Energías,"Empresas Corporativas, Filiales y Subsidiarias bajo sujeción sectorial",Empresa Nacional de Electricidad – ENDE
MINISTERIO DE HIDROCARBUROS Y ENERGÍAS,Hidrocarburos y Energías,"Empresas Corporativas, Filiales y Subsidiarias bajo sujeción sectorial",Empresa Boliviana de Industrialización de Hidrocarburos – EBIH
MINISTERIO DE HIDROCARBUROS Y ENERGÍAS,Hidrocarburos y Energías,"Empresas Corporativas, Filiales y Subsidiarias bajo sujeción sectorial",Yacimientos de Litio Bolivianos – YLB
MINISTERIO DE MINERÍA Y METALURGIA,Minería y Metalurgia,Entidades Descentralizadas bajo tuición,Servicio Nacional de Registro y Control de la Comercialización de Minerales y Metales – SENARECOM
MINISTERIO DE MINERÍA Y METALURGIA,Minería y Metalurgia,Entidades Descentralizadas bajo tuición,Servicio Geológico Minero – SERGEOMIN
MINISTERIO DE MINERÍA Y METALURGIA,Minería y Metalurgia,Entidades Descentralizadas bajo tuición,Fondo de Financiamiento para la Minería – FOFIM
MINISTERIO DE MINERÍA Y METALURGIA,Minería y Metalurgia,Empresas Públicas bajo tuición,Corporación Minera de Bolivia – COMIBOL
MINISTERIO DE MINERÍA Y METALURGIA,Minería y Metalurgia,Empresas Públicas bajo tuición,Empresa Siderúrgica del Mutún – ESM
MINISTERIO DE EDUCACIÓN,Educación,Entidades Descentralizadas bajo tuición,Escuela de Gestión Pública Plurinacional – EGPP
MINISTERIO DE EDUCACIÓN,Educación,Entidades Descentralizadas bajo tuición,Conservatorio Plurinacional de Música
MINISTERIO DE EDUCACIÓN,Educación,Entidades Descentralizadas bajo tuición,Academia Nacional de Ciencias
MINISTERIO DE EDUCACIÓN,Educación,Entidades Descentralizadas bajo tuición,Proyecto Sucre Ciudad Universitaria
MINISTERIO DE EDUCACIÓN,Educación,Entidades Descentralizadas bajo tuición,Escuela Boliviana Intercultural de Música
MINISTERIO DE EDUCACIÓN,Educación,Entidades Descentralizadas bajo tuición,Instituto Plurinacional de Estudio de Lenguas y Culturas – IPELC
MINISTERIO DE EDUCACIÓN,Educación,Entidades Descentralizadas bajo tuición,Escuela Boliviana Intercultural de Danza
MINISTERIO DE EDUCACIÓN,Educación,Entidades Descentralizadas bajo tuición,"Universidad Indígena Boliviana Aymara ""Tupak Katari"""
MINISTERIO DE EDUCACIÓN,Educación,Entidades Descentralizadas bajo tuición,"Universidad Indígena Boliviana Quechua ""Casimiro Huanca"""
MINISTERIO DE EDUCACIÓN,Educación,Entidades Descentralizadas bajo tuición,"Universidad Indígena Boliviana Guaraní y Pueblos de Tierras Bajas ""Apiaguaiki Tüpa"""
MINISTERIO DE EDUCACIÓN,Educación,Entidades Descentralizadas bajo tuición,Universidad Pedagógica
MINISTERIO DE SALUD Y DEPORTES,Salud y Deportes,Entidades Desconcentradas bajo dependencia,Centro Nacional de Enfermedades Tropicales – CENETROP
MINISTERIO DE SALUD Y DEPORTES,Salud y Deportes,Entidades Desconcentradas bajo dependencia,Instituto Nacional de Laboratorios de Salud – INLASA
MINISTERIO DE SALUD Y DEPORTES,Salud y Deportes,Entidades Desconcentradas bajo dependencia,Escuela de Salud de La Paz – ESLP
MINISTERIO DE SALUD Y DEPORTES,Salud y Deportes,Entidades Desconcentradas bajo dependencia,Escuela de Salud Cochabamba – ESCBBA
MINISTERIO DE SALUD Y DEPORTES,Salud y Deportes,Entidades Desconcentradas bajo dependencia,Agencia Estatal de Medicamentos y Tecnologías en Salud – AGEMED
MINISTERIO DE SALUD Y DEPORTES,Salud y Deportes,Entidades Desconcentradas bajo dependencia,Comité Nacional de Personas con Discapacidad – CONALPEDIS
MINISTERIO DE SALUD Y DEPORTES,Salud y Deportes,Entidades Desconcentradas bajo dependencia,Unidad Ejecutora del Fondo Nacional de Solidaridad y Equidad – FNSE
MINISTERIO DE SALUD Y DEPORTES,Salud y Deportes,Entidades Descentralizadas bajo tuición,Instituto Boliviano de la Ceguera – IBC
MINISTERIO DE SALUD Y DEPORTES,Salud y Deportes,Entidades Descentralizadas bajo tuición,Lotería Nacional de Beneficencia y Salubridad – LONABOL
MINISTERIO DE SALUD Y DEPORTES,Salud y Deportes,Entidades Descentralizadas bajo tuición,Central de Abastecimiento y Suministros de Salud – CEASS
MINISTERIO DE SALUD Y DEPORTES,Salud y Deportes,Entidades Descentralizadas bajo tuición,Instituto Nacional de Salud Ocupacional – INSO
MINISTERIO DE SALUD Y DEPORTES,Salud y Deportes,Entidades Descentralizadas bajo tuición,Agencia de Infraestructura en Salud y Equipamiento Médico – AISEM
MINISTERIO DE SALUD Y DEPORTES,Salud y Deportes,Entidades Descentralizadas bajo tuición,Autoridad de Supervisión de la Seguridad Social de Corto Plazo – ASUSS
MINISTERIO DE SALUD Y DEPORTES,Salud y Deportes,Entidades Descentralizadas bajo tuición,Instituto Gastroenterológico del Bicentenario – Hospital de Cuarto Nivel
"MINISTERIO DE OBRAS PÚBLICAS, SERVICIOS Y VIVIENDA",Obras Públicas y Vivienda,Entidades Desconcentradas bajo dependencia,Centro de Comunicaciones La Paz
"MINISTERIO DE OBRAS PÚBLICAS, SERVICIOS Y VIVIENDA",Obras Públicas y Vivienda,Entidades Desconcentradas bajo dependencia,Administradora de Terminal Terrestre Santa Cruz
"MINISTERIO DE OBRAS PÚBLICAS, SERVICIOS Y VIVIENDA",Obras Públicas y Vivienda,Entidades Desconcentradas bajo dependencia,Operadora del Tren Metropolitano de Cochabamba – MI TREN
"MINISTERIO DE OBRAS PÚBLICAS, SERVICIOS Y VIVIENDA",Obras Públicas y Vivienda,Entidades Desconcentradas bajo dependencia,Unidad de Proyectos Especiales – UPRE
"MINISTERIO DE OBRAS PÚBLICAS, SERVICIOS Y VIVIENDA",Obras Públicas y Vivienda,Entidades Descentralizadas bajo tuición,Vías Bolivia
"MINISTERIO DE OBRAS PÚBLICAS, SERVICIOS Y VIVIENDA",Obras Públicas y Vivienda,Entidades Descentralizadas bajo tuición,Autoridad de Regulación y Fiscalización de Telecomunicaciones y Transportes – ATT
"MINISTERIO DE OBRAS PÚBLICAS, SERVICIOS Y VIVIENDA",Obras Públicas y Vivienda,Entidades Descentralizadas bajo tuición,Agencia Estatal de Vivienda – AEVIVIENDA
"MINISTERIO DE OBRAS PÚBLICAS, SERVICIOS Y VIVIENDA",Obras Públicas y Vivienda,Entidades Descentralizadas bajo tuición,Agencia Boliviana de Correos
"MINISTERIO DE OBRAS PÚBLICAS, SERVICIOS Y VIVIENDA",Obras Públicas y Vivienda,Entidades Descentralizadas bajo tuición,Navegación Aérea y Aeropuertos Bolivianos – NAABOL
"MINISTERIO DE OBRAS PÚBLICAS, SERVICIOS Y VIVIENDA",Obras Públicas y Vivienda,Entidades Autárquicas bajo tuición,Dirección General de Aeronáutica Civil – DGAC
"MINISTERIO DE OBRAS PÚBLICAS, SERVICIOS Y VIVIENDA",Obras Públicas y Vivienda,Entidades Autárquicas bajo tuición,Administradora Boliviana de Carreteras – ABC
"MINISTERIO DE OBRAS PÚBLICAS, SERVICIOS Y VIVIENDA",Obras Públicas y Vivienda,Empresas Públicas bajo tuición,Empresa Nacional de Ferrocarriles – ENFE residual
"MINISTERIO DE OBRAS PÚBLICAS, SERVICIOS Y VIVIENDA",Obras Públicas y Vivienda,Empresas Públicas bajo tuición,Boliviana de Aviación – BoA
"MINISTERIO DE OBRAS PÚBLICAS, SERVICIOS Y VIVIENDA",Obras Públicas y Vivienda,Empresas Públicas bajo tuición,Agencia Boliviana Espacial – ABE
"MINISTERIO DE OBRAS PÚBLICAS, SERVICIOS Y VIVIENDA",Obras Públicas y Vivienda,Empresas Públicas bajo tuición,Empresa Estratégica Boliviana de Construcción y Conservación de Infraestructura Civil – EBC
"MINISTERIO DE OBRAS PÚBLICAS, SERVICIOS Y VIVIENDA",Obras Públicas y Vivienda,Empresas Públicas bajo tuición,"Empresa Estatal de Transporte por Cable ""Mi Teleférico"""
"MINISTERIO DE OBRAS PÚBLICAS, SERVICIOS Y VIVIENDA",Obras Públicas y Vivienda,Empresas con participación accionaria del Estado bajo vinculación sectorial,Empresa Nacional de Telecomunicaciones – ENTEL
MINISTERIO DE RELACIONES EXTERIORES,Relaciones Exteriores,Viceministerio: Viceministerio de Relaciones Exteriores y Seguridad Transnacional,Dirección General de Relaciones Bilaterales
MINISTERIO DE RELACIONES EXTERIORES,Relaciones Exteriores,Viceministerio: Viceministerio de Relaciones Exteriores y Seguridad Transnacional,Dirección General de Relaciones Multilaterales
MINISTERIO DE RELACIONES EXTERIORES,Relaciones Exteriores,Viceministerio: Viceministerio de Relaciones Exteriores y Seguridad Transnacional,Dirección General de Seguridad Transnacional
MINISTERIO DE RELACIONES EXTERIORES,Relaciones Exteriores,Viceministerio: Viceministerio de Relaciones Exteriores y Seguridad Transnacional,Dirección General de Ceremonial del Estado Plurinacional de Bolivia
MINISTERIO DE RELACIONES EXTERIORES,Relaciones Exteriores,"Viceministerio: Viceministerio de Comercio Exterior, Integración Económica e Inversiones Extranjeras",Dirección General de Promoción de Exportaciones y Acuerdos Comerciales
MINISTERIO DE RELACIONES EXTERIORES,Relaciones Exteriores,"Viceministerio: Viceministerio de Comercio Exterior, Integración Económica e Inversiones Extranjeras",Dirección General de Promoción de Inversiones Extranjeras
MINISTERIO DE RELACIONES EXTERIORES,Relaciones Exteriores,"Viceministerio: Viceministerio de Comercio Exterior, Integración Económica e Inversiones Extranjeras",Dirección General de Integración Económica
MINISTERIO DE RELACIONES EXTERIORES,Relaciones Exteriores,Viceministerio: Viceministerio de Asuntos Jurídicos Internacionales y Gestión Consular,Dirección General de Asuntos Jurídicos Internacionales
MINISTERIO DE RELACIONES EXTERIORES,Relaciones Exteriores,Viceministerio: Viceministerio de Asuntos Jurídicos Internacionales y Gestión Consular,Dirección General de Asistencia y Protección Consular
MINISTERIO DE RELACIONES EXTERIORES,Relaciones Exteriores,Viceministerio: Viceministerio de Asuntos Jurídicos Internacionales y Gestión Consular,Dirección Departamental Santa Cruz
MINISTERIO DE RELACIONES EXTERIORES,Relaciones Exteriores,Viceministerio: Viceministerio de Asuntos Jurídicos Internacionales y Gestión Consular,Dirección Departamental Cochabamba
MINISTERIO DE RELACIONES EXTERIORES,Relaciones Exteriores,Viceministerio: Viceministerio de Turismo Sostenible y Culturas,Dirección General de Políticas y Desarrollo del Turismo Sostenible
MINISTERIO DE RELACIONES EXTERIORES,Relaciones Exteriores,Viceministerio: Viceministerio de Turismo Sostenible y Culturas,"Dirección General de Patrimonio, Folklore y Culturas"
MINISTERIO DE RELACIONES EXTERIORES,Relaciones Exteriores,Viceministerio: Viceministerio de Turismo Sostenible y Culturas,Dirección General de Desarrollo y Competitividad Gastronómica
MINISTERIO DE RELACIONES EXTERIORES,Relaciones Exteriores,Direcciones Generales bajo dependencia directa,Dirección General de Geopolítica y Geoeconomía
MINISTERIO DE LA PRESIDENCIA,Presidencia,Viceministerio: Viceministerio de Gestión Legislativa y Coordinación con Organizaciones Sociales,Dirección General de Gestión y Seguimiento Legislativo
